"t (s)","V (mV)"
0,"12,4854","2,524559962"
"1,05","12,5008","2,525792642"
"2,099","12,4817","2,524263572"
"3,104","12,4729","2,523558291"
"4,099","12,4726","2,523534238"
"5,099","12,4631","2,522772279"
"6,099","12,4468","2,521463562"
"7,099","12,4356","2,520563327"
"8,099","12,4378","2,520740223"
"9,1","12,4355","2,520555286"
"10,099","12,4293","2,520056589"
"11,099","12,4311","2,520201397"
"12,099","12,4136","2,518792646"
"13,099","12,4188","2,519211453"
"14,099","12,4018","2,517841623"
"15,1","12,3898","2,516873553"
"16,099","12,3794","2,516033801"
"17,099","12,3738","2,515581334"
"18,099","12,3683","2,515136748"
"19,099","12,3767","2,515815673"
"20,099","12,3543","2,514004181"
"21,104","12,3381","2,512692036"
"22,099","12,3255","2,511670287"
"23,099","12,332","2,51219751"
"24,099","12,3091","2,510338826"
"25,099","12,2999","2,509591132"
"26,1","12,2899","2,508777787"
"27,099","12,2757","2,507621699"
"28,099","12,2721","2,507328393"
"29,099","12,2568","2,506080885"
"30,099","12,2432","2,504970681"
"31,099","12,2554","2,505966656"
"32,099","12,2241","2,503409413"
"33,099","12,2229","2,503311241"
"34,099","12,2075","2,502050517"
"35,099","12,2063","2,501952212"
"36,099","12,2015","2,501558895"
"37,099","12,1942","2,500960429"
"38,1","12,2064","2,501960404"
"39,099","12,1715","2,499097153"
"40,099","12,155","2,497740608"
"41,1","12,1576","2,497954489"
"42,099","12,1504","2,497362091"
"43,099","12,1316","2,495813619"
"44,099","12,1251","2,495277684"
"45,099","12,117","2,494609425"
"46,099","12,0986","2,493089743"
"47,099","12,1076","2,493833355"
"48,099","12,0992","2,493139335"
"49,099","12,0938","2,492692925"
"50,099","12,0734","2,491004686"
"51,1","12,0796","2,491518079"
"52,099","12,0704","2,490756175"
"53,099","12,0471","2,488823967"
"54,099","12,0392","2,488167992"
"55,099","12,0332","2,487669496"
"56,099","12,0165","2,486280705"
"57,099","12,0111","2,485831222"
"58,099","11,9985","2,484781642"
"59,099","11,9793","2,48318016"
"60,099","11,9855","2,483697586"
"61,099","11,9756","2,482871246"
"62,099","11,9572","2,481333607"
"63,1","11,9521","2,480906995"
"64,099","11,9441","2,480237433"
"65,1","11,9386","2,479776848"
"66,099","11,9429","2,48013696"
"67,099","11,9173","2,477991126"
"68,099","11,914","2,477714179"
"69,099","11,904","2,476874478"
"70,099","11,9014","2,47665604"
"71,099","11,8907","2,475756582"
"72,099","11,8651","2,473601318"
"73,099","11,8371","2,471238667"
"74,1","11,8472","2,472091553"
"75,099","11,8419","2,47164409"
"76,099","11,8211","2,46988607"
"77,099","11,8117","2,469090566"
"78,099","11,7944","2,467624843"
"79,099","11,7927","2,467480696"
"80,099","11,7913","2,467361971"
"81,099","11,7864","2,466946324"
"82,099","11,7678","2,465366988"
"83,099","11,7601","2,464712446"
"84,099","11,7533","2,464134052"
"85,099","11,7483","2,463708549"
"86,099","11,7464","2,463546811"
"87,099","11,7422","2,46318919"
"88,1","11,7276","2,461945038"
"89,099","11,7266","2,461859766"
"90,099","11,7166","2,46100664"
"91,099","11,6862","2,458408658"
"92,099","11,6962","2,459264003"
"93,106","11,6888","2,458631118"
"94,099","11,6696","2,45698717"
"95,099","11,6504","2,455340514"
"96,099","11,6539","2,455640888"
"97,099","11,6474","2,455082979"
"98,099","11,6253","2,453183758"
"99,104","11,6407","2,454507578"
"100,099","11,6262","2,453261172"
"101,1","11,6124","2,452073493"
"102,099","11,5961","2,450668835"
"103,099","11,5895","2,450099516"
"104,099","11,5916","2,450280698"
"105,099","11,5486","2,446564217"
"106,099","11,5563","2,447230743"
"107,099","11,5525","2,446901864"
"108,099","11,5367","2,445533258"
"109,1","11,5323","2,445151794"
"110,099","11,5025","2,442564403"
"111,104","11,5109","2,443294413"
"112,099","11,4568","2,43858344"
"113,099","11,4761","2,440266612"
"114,099","11,4441","2,437474313"
"115,099","11,4624","2,439072113"
"116,099","11,4583","2,438714358"
"117,099","11,4431","2,437386928"
"118,099","11,4353","2,436705062"
"119,1","11,4229","2,435620112"
"120,099","11,4224","2,43557634"
"121,1","11,3974","2,433385259"
"122,099","11,3972","2,433367711"
"123,099","11,3697","2,430951922"
"124,099","11,3687","2,430863965"
"125,1","11,3806","2,431910151"
"126,099","11,3745","2,431374008"
"127,099","11,3675","2,430758407"
"128,099","11,3512","2,429323465"
"129,099","11,3313","2,427568808"
"130,099","11,339","2,428248111"
"131,099","11,3392","2,428265749"
"132,099","11,3136","2,426005542"
"133,099","11,3172","2,426323692"
"134,099","11,3027","2,425041635"
"135,1","11,2862","2,42358074"
"136,099","11,295","2,42436015"
"137,099","11,278","2,422853925"
"138,099","11,2658","2,421771588"
"139,099","11,2691","2,422064467"
"140,099","11,2571","2,420999041"
"141,099","11,2407","2,41954112"
"142,099","11,2351","2,419042806"
"143,099","11,2374","2,419247501"
"144,1","11,2176","2,417483973"
"145,099","11,2225","2,417920692"
"146,099","11,2098","2,416788396"
"147,099","11,1843","2,414511009"
"148,099","11,1698","2,413213708"
"149,099","11,1636","2,412658486"
"150,099","11,1484","2,41129599"
"151,099","11,1263","2,409311675"
"152,099","11,1042","2,407323415"
"153,099","11,1048","2,407377447"
"154,099","11,0855","2,405637948"
"155,099","11,0852","2,405610885"
"156,1","11,0979","2,406755901"
"157,099","11,0763","2,404807691"
"158,099","11,0864","2,405719132"
"159,099","11,0905","2,406088886"
"160,099","11,0933","2,406341322"
"161,099","11,0741","2,404609049"
"162,099","11,0292","2,400546301"
"163,099","11,0162","2,399366917"
"164,099","11,0036","2,398222492"
"165,1","11,0562","2,402991357"
"166,099","11,0367","2,401226083"
"167,099","11,0471","2,40216795"
"168,099","11,0148","2,399239823"
"169,099","11,0249","2,400156351"
"170,099","10,9946","2,397404243"
"171,099","10,9958","2,397513382"
"172,099","10,971","2,395255428"
"173,099","10,972","2,395346573"
"174,099","10,9672","2,394909"
"175,099","10,9502","2,393357721"
"176,099","10,9399","2,392416656"
"177,104","10,9407","2,39248978"
"178,099","10,9098","2,389661468"
"179,099","10,9244","2,39099882"
"180,099","10,9269","2,391227639"
"181,099","10,9253","2,391081201"
"182,099","10,9082","2,3895148"
"183,099","10,906","2,389313097"
"184,099","10,8995","2,388716917"
"185,099","10,8895","2,387799022"
"186,099","10,878","2,386742401"
"187,099","10,8749","2,386457382"
"188,099","10,8694","2,385951502"
"189,099","10,8666","2,385693865"
"190,099","10,8406","2,383298345"
"191,099","10,8436","2,383575044"
"192,099","10,8163","2,381054256"
"193,099","10,8145","2,380887826"
"194,099","10,8072","2,380212579"
"195,104","10,7883","2,378462214"
"196,099","10,7884","2,378471483"
"197,099","10,7495","2,374859242"
"198,099","10,7626","2,376077161"
"199,099","10,7555","2,375417252"
"200,099","10,7611","2,37593778"
"201,104","10,7576","2,375612482"
"202,099","10,7483","2,374747603"
"203,1","10,7421","2,374170601"
"204,099","10,7324","2,373267204"
"205,099","10,7141","2,371560631"
"206,099","10,7229","2,372381641"
"207,1","10,6559","2,366113729"
"208,1","10,6972","2,369982025"
"209,099","10,7021","2,370439984"
"210,099","10,6857","2,368906399"
"211,099","10,6898","2,369290016"
"212,099","10,682","2,368560082"
"213,1","10,6686","2,367304848"
"214,099","10,658","2,366310784"
"215,099","10,6406","2,364676873"
"216,099","10,63","2,363680192"
"217,099","10,6209","2,362823758"
"218,098","10,6132","2,362098509"
"219,098","10,6148","2,362249254"
"220,098","10,5957","2,360448258"
"221,098","10,594","2,360287803"
"222,098","10,5946","2,360344437"
"223,098","10,5843","2,359371771"
"224,098","10,5806","2,359022136"
"225,098","10,5666","2,357698083"
"226,098","10,5638","2,357433062"
"227,098","10,5576","2,35684598"
"228,099","10,5402","2,355196518"
"229,098","10,5373","2,354921343"
"230,098","10,53","2,354228326"
"231,098","10,5127","2,35258405"
"232,098","10,5067","2,352013149"
"233,098","10,5072","2,352060736"
"234,098","10,5086","2,35219397"
"235,098","10,482","2,3496595"
"236,098","10,465","2,348036356"
"237,103","10,4724","2,348743225"
"238,098","10,4797","2,349440053"
"239,098","10,4476","2,346372287"
"240,098","10,449","2,34650628"
"241,098","10,4413","2,345769096"
"242,098","10,431","2,344782142"
"243,097","10,4208","2,343803809"
"244,098","10,4035","2,342142288"
"245,098","10,3964","2,341459592"
"246,098","10,415","2,343247075"
