"t (s)","V (mV)"
"247,098","10,3924","2,34107477"
"248,098","10,3965","2,341469211"
"249,098","10,3871","2,340564652"
"250,098","10,3756","2,339456896"
"251,098","10,3722","2,33912915"
"252,098","10,3523","2,337208717"
"253,098","10,3566","2,337623998"
"254,098","10,3464","2,336638633"
"255,098","10,3042","2,332551579"
"256,098","10,3295","2,335003879"
"257,099","10,3205","2,334132208"
"258,098","10,3126","2,333366449"
"259,098","10,3177","2,333860867"
"260,098","10,3018","2,332318637"
"261,103","10,2943","2,331590344"
"262,098","10,3016","2,332299223"
"263,098","10,3037","2,332503054"
"264,098","10,2901","2,331182268"
"265,098","10,2874","2,330919845"
"266,098","10,2579","2,32804814"
"267,103","10,2448","2,32677026"
"268,098","10,2367","2,325979302"
"269,098","10,2249","2,324825922"
"270,098","10,2301","2,325334355"
"271,098","10,2114","2,323504743"
"272,098","10,2132","2,323681001"
"273,098","10,2049","2,322867997"
"274,098","10,2037","2,3227504"
"275,097","10,19","2,321406847"
"276,098","10,1724","2,31967817"
"277,098","10,1691","2,319353711"
"278,098","10,1602","2,318478127"
"279,098","10,1584","2,318300949"
"280,098","10,1479","2,317266788"
"281,098","10,1391","2,316399237"
"282,098","10,1386","2,316349922"
"283,098","10,1275","2,315254496"
"284,098","10,108","2,31332719"
"285,103","10,0862","2,311168153"
"286,099","10,0901","2,311554745"
"287,098","10,0927","2,31181239"
"288,098","10,0844","2,310989675"
"289,098","10,0851","2,311059087"
"290,098","10,0744","2,309997553"
"291,098","10,052","2,30777162"
"292,098","10,0587","2,308437932"
"293,098","10,0418","2,306756381"
"294,098","10,0351","2,306088947"
"295,098","10,0238","2,304962265"
"296,098","10,0209","2,304672912"
"297,103","10,0137","2,303954155"
"298,098","10,0048","2,303064978"
"299,098","10,0076","2,303344804"
"300,099","9,9929","2,301874841"
"301,099","9,9813","2,300713342"
"302,099","9,9716","2,299741053"
"303,104","9,9769","2,300272421"
"304,099","9,9717","2,299751081"
"305,1","9,9603","2,298607192"
"306,099","9,9561","2,298185429"
"307,099","9,9271","2,295268391"
"308,099","9,9363","2,296194718"
"309,099","9,9327","2,295832344"
"310,099","9,9182","2,294371453"
"311,099","9,9117","2,293715878"
"312,099","9,8807","2,290583359"
"313,099","9,9133","2,29387729"
"314,099","9,8959","2,29212053"
"315,1","9,88","2,290512512"
"316,099","9,8879","2,291311787"
"317,099","9,8896","2,2914837"
"318,099","9,8741","2,289915167"
"319,099","9,8756","2,290067068"
"320,099","9,8571","2,288192008"
"321,099","9,8457","2,287034812"
"322,099","9,8369","2,286140621"
"323,099","9,8344","2,285886443"
"324,099","9,8267","2,285103171"
"325,099","9,8191","2,284329468"
"326,099","9,7953","2,281902679"
"327,1","9,7999","2,282372182"
"328,099","9,7893","2,281289952"
"329,099","9,791","2,281463596"
"330,099","9,7794","2,280278132"
"331,099","9,7743","2,279756492"
"332,099","9,768","2,279111737"
"333,099","9,7601","2,278302646"
"334,099","9,7641","2,278712394"
"335,099","9,7476","2,277021101"
"336,099","9,7254","2,27474102"
"337,099","9,7235","2,274545636"
"338,099","9,7115","2,27331075"
"339,1","9,7066","2,272806067"
"340,099","9,6835","2,270423406"
"341,099","9,6953","2,271641232"
"342,099","9,6912","2,271218257"
"343,099","9,6897","2,271063466"
"344,099","9,6394","2,265858866"
"345,099","9,6677","2,268790432"
"346,099","9,663","2,268304159"
"347,1","9,633","2,265194704"
"348,1","9,6349","2,265391923"
"349,099","9,631","2,264987063"
"350,099","9,6316","2,265049359"
"351,099","9,6184","2,263677931"
"352,099","9,6222","2,264072929"
"353,099","9,609","2,262700159"
"354,099","9,5931","2,26104409"
"355,099","9,5975","2,261502648"
"356,099","9,596","2,261346345"
"357,099","9,5834","2,260032435"
"358,099","9,5769","2,259353949"
"359,099","9,5765","2,259312181"
"360,099","9,5679","2,258413746"
"361,099","9,5663","2,258246506"
"362,099","9,5438","2,255891729"
"363,104","9,5481","2,256342182"
"364,099","9,538","2,25528382"
"365,099","9,5323","2,254686032"
"366,1","9,5256","2,253982911"
"367,099","9,5229","2,253699424"
"368,1","9,5043","2,251744328"
"369,104","9,5025","2,251554922"
"370,099","9,4959","2,250860127"
"371,099","9,4934","2,25059682"
"372,1","9,4897","2,250207"
"373,099","9,4766","2,248825602"
"374,099","9,4681","2,247928253"
"375,1","9,4648","2,247579654"
"376,099","9,4552","2,246564855"
"377,099","9,4401","2,244966573"
"378,099","9,4383","2,244775879"
"379,099","9,4288","2,243768835"
"380,099","9,4187","2,242697075"
"381,099","9,3927","2,239932792"
"382,099","9,4142","2,242219188"
"383,099","9,4034","2,241071326"
"384,099","9,3945","2,240124412"
"385,099","9,3658","2,237064757"
"386,099","9,3467","2,23502334"
"387,107","9,3284","2,23306351"
"388,099","9,3628","2,236744391"
"389,099","9,372","2,237726521"
"390,099","9,3527","2,235665072"
"391,099","9,3311","2,233352907"
"392,099","9,3426","2,234584586"
"393,099","9,3485","2,235215903"
"394,099","9,3292","2,233149266"
"395,099","9,3121","2,23131463"
"396,099","9,3125","2,231357584"
"397,099","9,2986","2,229863851"
"398,099","9,3039","2,230433667"
"399,104","9,3003","2,230046658"
"400,099","9,2899","2,228927789"
"401,099","9,2726","2,227063815"
"402,099","9,272","2,226999106"
"403,099","9,278","2,227646006"
"404,099","9,2683","2,226599975"
"405,099","9,2626","2,225984787"
"406,099","9,2518","2,224818127"
"407,099","9,2453","2,224115314"
"408,099","9,2396","2,223498595"
"409,099","9,2276","2,222198993"
"410,099","9,2262","2,222047263"
"411,099","9,2191","2,221277419"
"412,099","9,2052","2,219768542"
"413,099","9,204","2,219638172"
"414,099","9,1825","2,217299499"
"415,099","9,1834","2,217397506"
"416,099","9,1824","2,217288608"
"417,099","9,1756","2,216547787"
"418,099","9,1638","2,21526094"
"419,099","9,1569","2,214507693"
"420,099","9,1475","2,213480618"
"421,099","9,0929","2,207493889"
"422,099","9,1052","2,208845679"
"423,105","9,1348","2,212091296"
"424,099","9,1242","2,210930224"
"425,1","9,1097","2,20933978"
"426,099","9,1016","2,208450222"
"427,099","9,0948","2,207702822"
"428,099","9,0994","2,208208477"
"429,099","9,0902","2,20719691"
"430,099","9,0886","2,207020881"
"431,099","9,0692","2,204884057"
"432,099","9,0727","2,205269905"
"433,099","9,0726","2,205258882"
"434,099","9,0705","2,205027389"
"435,099","9,0606","2,203935343"
"436,099","9,0459","2,202311616"
"437,099","9,0404","2,201703421"
"438,099","9,0345","2,201050582"
"439,099","9,0426","2,201946744"
"440,099","9,0297","2,200519144"
"441,099",9,"2,197224577"
"442,099","8,9696","2,193841082"
"443,099","8,9976","2,196957875"
"444,099","9,0073","2,19803536"
"445,099","8,9758","2,194532067"
"446,099","8,9932","2,196468736"
"447,099","8,9778","2,194754863"
"448,099","8,9539","2,192089192"
"449,099","8,9677","2,193629233"
"450,099","8,9699","2,193874528"
"451,099","8,9754","2,194487502"
"452,099","8,9585","2,192602802"
"453,099","8,942","2,190759278"
"454,099","8,9471","2,191329457"
"455,099","8,9321","2,18965153"
"456,099","8,9322","2,189662725"
"457,099","8,9194","2,18822868"
"458,099","8,9215","2,188464094"
"459,099","8,9202","2,188318368"
"460,1","8,921","2,188408048"
"461,099","8,9114","2,187331356"
"462,099","8,9055","2,186669063"
"463,099","8,889","2,184814557"
"464,099","8,8835","2,184195623"
"465,1","8,8695","2,182618425"
"466,099","8,8754","2,183283405"
"467,099","8,8741","2,183136922"
"468,099","8,8754","2,183283405"
"469,099","8,843","2,179626186"
"470,099","8,846","2,179965379"
"471,099","8,8416","2,179467856"
"472,099","8,8196","2,176976518"
"473,099","8,8272","2,177837864"
"474,099","8,8016","2,174933523"
"475,099","8,8251","2,177599934"
"476,099","8,8032","2,175115292"
"477,1","8,7947","2,174149267"
"478,099","8,7818","2,172681398"
"479,099","8,7948","2,174160638"
"480,099","8,787","2,173273357"
"481,099","8,7879","2,173375775"
"482,099","8,7623","2,170458428"
"483,099","8,7533","2,169430772"
"484,099","8,7631","2,170549724"
"485,099","8,7588","2,170058909"
"486,099","8,7398","2,167887306"
"487,099","8,7494","2,168985127"
"488,099","8,7362","2,167475313"
"489,1","8,7229","2,165951751"
"490,099","8,7289","2,16663936"
"491,099","8,7232","2,165986143"
"492,099","8,7116","2,164655471"
"493,099","8,6925","2,162460585"
"494,099","8,6884","2,161988803"
"495,104","8,6877","2,161908232"
"496,099","8,6909","2,162276501"
"497,099","8,6658","2,159384244"
"498,099","8,674","2,160330045"
"499,1","8,6476","2,157281826"
"500,101","8,6594","2,158645436"
"501,099","8,6437","2,156830732"
"502,099","8,629","2,155128624"
"503,099","8,6335","2,155649985"
"504,099","8,6314","2,155406717"
"505,099","8,6141","2,153400396"
"506,099","8,6064","2,152506113"
"507,1","8,6","2,151762203"
"508,099","8,6121","2,153168191"
"509,1","8,5938","2,151041013"
"510,099","8,6045","2,152285322"
"511,099","8,5967","2,151378409"
"512,099","8,5877","2,150330947"
"513,104","8,5812","2,149573764"
"514,099","8,5741","2,148746031"
"515,099","8,5791","2,149329013"
"516,099","8,5945","2,151122464"
"517,099","8,5699","2,148256064"
"518,099","8,5688","2,148127699"
"519,104","8,5501","2,145942979"
"520,1","8,5497","2,145896195"
"521,099","8,546","2,145463337"
"522,099","8,5308","2,143683144"
"523,099","8,5082","2,141030404"
"524,1","8,5009","2,14017204"
"525,104","8,4953","2,139513069"
"526,099","8,4933","2,139277617"
"527,099","8,488","2,138653401"
"528,099","8,5109","2,141347695"
"529,099","8,4537","2,134604215"
"530,099","8,46","2,135349174"
"531,099","8,4569","2,134982676"
"532,099","8,4453","2,133610074"
"533,099","8,4362","2,13253197"
"534,099","8,4509","2,134272945"
"535,1","8,4342","2,132294869"
"536,1","8,4595","2,13529007"
"537,1","8,4467","2,133775833"
"538,099","8,4422","2,133242938"
"539,099","8,4398","2,132958612"
"540,099","8,4316","2,131986552"
"541,099","8,4132","2,129801901"
"542,099","8,4046","2,128779175"
"543,104","8,4021","2,128481675"
"544,099","8,385","2,126444395"
"545,099","8,3839","2,1263132"
"546,099","8,3814","2,126014965"
"547,099","8,3789","2,125716641"
"548,099","8,3691","2,124546352"
"549,099","8,3575","2,123159339"
"550,099","8,3066","2,11705038"
"551,099","8,3009","2,116363943"
"552,099","8,3499","2,122249563"
"553,099","8,3651","2,124068289"
"554,099","8,3429","2,121410878"
"555,105","8,3349","2,120451519"
"556,099","8,3237","2,119106868"
"557,099","8,3133","2,117856642"
"558,099","8,3073","2,117134646"
"559,099","8,2922","2,115315314"
"560,099","8,2928","2,115387668"
"561,105","8,29","2,115049969"
"562,099","8,2812","2,113987885"
"563,099","8,2945","2,115592645"
"564,099","8,2711","2,112767511"
"565,099","8,2648","2,112005533"
