"t (s)","V (mV)"
"188,17","10,8797","2,386898668"
"189,17","10,8699","2,385997501"
"190,17","10,8725","2,386236665"
"191,17","10,8511","2,384266457"
"192,17","10,8312","2,382430858"
"193,17","10,8178","2,381192926"
"194,171","10,8095","2,380425377"
"195,17","10,8046","2,379971969"
"196,17","10,7894","2,378564171"
"197,17","10,7881","2,378443675"
"198,17","10,7595","2,375789085"
"199,17","10,7602","2,375854142"
"200,17","10,7392","2,373900598"
"201,17","10,7369","2,373686407"
"202,17","10,7295","2,372996957"
"203,17","10,7139","2,371541964"
"204,17","10,7086","2,371047157"
"205,17","10,6952","2,369795043"
"206,17","10,698","2,370056808"
"207,171","10,6832","2,368672414"
"208,171","10,6754","2,367942029"
"209,17","10,6514","2,365691339"
"210,17","10,6432","2,364921191"
"211,17","10,6504","2,36559745"
"212,17","10,6292","2,363604931"
"213,171","10,6204","2,36277668"
"214,17","10,6206","2,362795511"
"215,169","10,5894","2,359853501"
"216,169","10,5857","2,359504034"
"217,169","10,5888","2,359796839"
"218,169","10,5742","2,358417072"
"219,169","10,5613","2,357196377"
"220,169","10,5516","2,356277507"
"221,169","10,5463","2,355775088"
"222,169","10,5316","2,354380261"
"223,169","10,5112","2,352441355"
"224,169","10,5087","2,352203486"
"225,169","10,4959","2,350984705"
"226,169","10,4776","2,349239645"
"227,169","10,4937","2,350775077"
"228,169","10,4851","2,349955202"
"229,169","10,4765","2,349134654"
"230,169","10,449","2,34650628"
"231,169","10,4565","2,347223795"
"232,169","10,4426","2,345893594"
"233,169","10,3811","2,339986845"
"234,169","10,4239","2,344101247"
"235,169","10,4283","2,344523264"
"236,169","10,4195","2,343679051"
"237,169","10,4097","2,342738064"
"238,169","10,3972","2,341536539"
"239,169","10,3907","2,340911175"
"240,169","10,3795","2,339832707"
"241,169","10,3693","2,338849518"
"242,169","10,3494","2,336928547"
"243,17","10,3632","2,338261069"
"244,169","10,3342","2,335458783"
"245,169","10,3202","2,33410314"
"246,169","10,3232","2,33439379"
"247,169","10,3139","2,3334925"
"248,169","10,297","2,331852591"
"249,169","10,2879","2,330968447"
"250,169","10,2773","2,32993758"
"251,169","10,2676","2,328993306"
"252,169","10,2556","2,327823898"
"253,169","10,2374","2,326047681"
"254,169","10,2396","2,326262556"
"255,169","10,2182","2,324170444"
"256,169","10,2303","2,325353905"
"257,169","10,2217","2,324512911"
"258,169","10,2133","2,323690792"
"259,169","10,2039","2,32277"
"260,169","10,1965","2,322044524"
"261,169","10,171","2,319540534"
"262,169","10,1715","2,319589692"
"263,169","10,1592","2,318379699"
"264,168","10,1425","2,316734516"
"265,169","10,1342","2,315915842"
"266,168","10,1293","2,315432214"
"267,169","10,1279","2,315293992"
"268,169","10,1047","2,313000662"
"269,169","10,1018","2,312713626"
"270,169","10,1084","2,313366761"
"271,169","10,0941","2,311951095"
"272,169","10,0815","2,310702061"
"273,169","10,0558","2,308149582"
"274,169","10,0525","2,30782136"
"275,169","10,0283","2,305411096"
"276,169","10,0149","2,304073984"
"277,169","10,0206","2,304642974"
"278,169","10,0109","2,303674499"
"279,17","9,9835","2,30093373"
"280,17","9,9692","2,29950034"
"281,17","9,9773","2,300312513"
"282,17","9,9866","2,301244194"
"283,17","9,9726","2,299841332"
"284,171","9,9686","2,299440153"
"285,17","9,9493","2,297502197"
"286,17","9,9398","2,2965469"
"287,17","9,9278","2,295338903"
"288,17","9,926","2,295157577"
"289,17","9,9085","2,293392975"
"290,17","9,8959","2,29212053"
"291,17","9,8954","2,292070003"
"292,17","9,904","2,292938716"
"293,17","9,8918","2,291706131"
"294,17","9,8802","2,290532754"
"295,17","9,8696","2,289459326"
"296,17","9,8498","2,28745115"
"297,17","9,8588","2,288364457"
"298,17","9,8449","2,286953555"
"299,17","9,8121","2,283616318"
"300,17","9,8086","2,283259552"
"301,171","9,8108","2,28348382"
"302,17","9,8119","2,283595935"
"303,17","9,789","2,281259306"
"304,17","9,7819","2,280533739"
"305,17","9,7732","2,279643946"
"306,17","9,7604","2,278333383"
"307,171","9,7512","2,277390354"
"308,17","9,744","2,276651711"
"309,17","9,7317","2,275388598"
"310,17","9,7492","2,27718523"
"311,171","9,7294","2,275152229"
"312,17","9,7275","2,274956926"
"313,171","9,7046","2,2726"
