"t (s)","V (mV)"
"187,83","9,908","2,293342512"
"188,83","9,9202","2,294573082"
"189,83","9,9002","2,292554959"
"190,83","9,8888","2,291402804"
"191,83","9,8827","2,290785754"
"192,83","9,8591","2,288394887"
"193,83","9,8392","2,286374407"
"194,831","9,8255","2,284981047"
"195,83","9,8113","2,283534783"
"196,83","9,804","2,282790466"
"197,83","9,7956","2,281933305"
"198,831","9,7811","2,280451952"
"199,83","9,7571","2,277995225"
"200,831","9,745","2,276754333"
"201,83","9,743","2,276549078"
"202,83","9,7406","2,276302717"
"203,83","9,7256","2,274761584"
"204,83","9,7124","2,27340342"
"205,83","9,6858","2,270660895"
"206,83","9,6905","2,271146024"
"207,83","9,671","2,269131717"
"208,83","9,6631","2,268314508"
"209,83","9,6438","2,266315222"
"210,83","9,635","2,265402302"
"211,831","9,6122","2,263033125"
"212,835","9,6066","2,262450362"
"213,83","9,5868","2,260387152"
"214,83","9,5764","2,259301738"
"215,83","9,5651","2,258121058"
"216,83","9,5561","2,257179694"
"217,83","9,5334","2,254801422"
"218,83","9,5238","2,253793929"
"219,83","9,4945","2,250712684"
"220,83","9,4875","2,249975143"
"221,83","9,4771","2,248878362"
"222,83","9,4449","2,245474913"
"223,83","9,4688","2,248002183"
"224,835","9,4446","2,24544315"
"225,83","9,4332","2,244235382"
"226,83","9,4138","2,242176698"
"227,83","9,3567","2,236092664"
"228,83","9,3932","2,239986023"
"229,83","9,3819","2,238782301"
"230,835","9,3668","2,237171522"
"231,83","9,3657","2,237054079"
"232,83","9,3531","2,235707839"
"233,83","9,3375","2,23403855"
"234,83","9,3211","2,232280647"
"235,83","9,308","2,230874245"
"236,831","9,2946","2,229433586"
"237,83","9,2904","2,228981609"
"238,831","9,2786","2,227710673"
"239,83","9,2503","2,224655983"
"240,83","9,2349","2,222989785"
"241,83","9,2215","2,221537714"
"242,83","9,2049","2,219735951"
"243,83","9,1964","2,218812103"
"244,83","9,1875","2,217843865"
"245,83","9,1664","2,215544625"
"246,83","9,1691","2,215839135"
"247,83","9,1493","2,213677374"
"248,835","9,1437","2,213065118"
"249,83","9,1298","2,211543789"
"250,83","9,1032","2,208626"
"251,83","9,0808","2,206162294"
"252,83","9,093","2,207504887"
"253,83","9,0817","2,2062614"
"254,83","9,0673","2,204674535"
"255,83","9,0476","2,202499529"
"256,831","9,037","2,201327261"
"257,83","9,0124","2,198601407"
"258,83","9,0271","2,200231164"
"259,83","9,03","2,200552367"
"260,835","9,0028","2,19753564"
"261,83","9,0082","2,198135274"
"262,83","9,0041","2,197680029"
"263,83","8,9827","2,195300505"
"264,83","8,9822","2,195244841"
"265,83","8,9636","2,193171932"
"266,831","8,9639","2,1932054"
"267,83","8,9448","2,191072358"
"268,831","8,9254","2,188901145"
"269,83","8,9202","2,188318368"
"270,83","8,8938","2,185354405"
