"t (s)","V (mV)"
0,"15,0067","2,708496768"
"0,97","14,9277","2,703218547"
"1,901","14,8707","2,699392834"
"2,863","14,8021","2,694769063"
"3,826","14,7284","2,689777603"
"4,826","14,6641","2,68540233"
"5,827","14,5855","2,680027885"
"6,826","14,5203","2,67554767"
"7,826","14,4499","2,670687494"
"8,826","14,373","2,665351447"
"9,831","14,2971","2,660056719"
"10,826","14,2441","2,656342786"
"11,826","14,1712","2,651211736"
"12,826","14,1027","2,646366268"
"13,826","14,0424","2,642081324"
"14,826","13,964","2,636482589"
"15,826","13,8973","2,631694577"
"16,826","13,8439","2,627844702"
"17,827","13,7709","2,62255767"
"18,826","13,7","2,617395833"
"19,826","13,6313","2,612368619"
"20,826","13,571","2,607935163"
"21,826","13,5012","2,60277857"
"22,826","13,4338","2,597773919"
"23,826","13,375","2,593387293"
"24,826","13,309","2,588440498"
"25,826","13,2438","2,583529518"
"26,826","13,1718","2,578078181"
"27,826","13,1103","2,573398181"
"28,826","13,0239","2,566786131"
"29,826","12,9785","2,563294142"
"30,826","12,9289","2,559465116"
"31,827","12,8679","2,554735838"
"32,827","12,8073","2,550015321"
"33,832","12,7493","2,545476368"
"34,826","12,6857","2,540475375"
"35,826","12,6169","2,535037185"
"36,827","12,5626","2,530724146"
"37,826","12,4984","2,525600636"
"38,826","12,4379","2,520748263"
"39,826","12,3754","2,515710631"
"40,826","12,3124","2,510606885"
"41,827","12,2575","2,506137995"
"42,826","12,1984","2,501304796"
"43,826","12,1451","2,496925796"
"44,826","12,0864","2,492080854"
"45,831","12,0198","2,48655529"
"46,826","11,9699","2,482395165"
"47,827","11,9179","2,478041472"
"48,826","11,8608","2,473238845"
"49,826","11,8016","2,468235116"
"50,827","11,7478","2,463665989"
"51,826","11,6941","2,459084441"
"52,826","11,6367","2,454163897"
"53,826","11,5865","2,449840627"
"54,826","11,5349","2,445377222"
"55,827","11,4778","2,440414735"
"56,826","11,4179","2,435182299"
"57,827","11,3639","2,430441664"
"58,826","11,3083","2,425536969"
"59,826","11,2616","2,421398709"
"60,826","11,2101","2,416815158"
"61,826","11,1482","2,41127805"
"62,826","11,0906","2,406097903"
"63,831","11,0347","2,401044853"
"64,826","10,9942","2,397367861"
"65,827","10,9423","2,392636013"
"66,826","10,884","2,387293821"
"67,826","10,8325","2,382550875"
"68,826","10,7857","2,378221183"
"69,827","10,7286","2,372913073"
"70,826","10,6798","2,368354107"
"71,827","10,6353","2,364178657"
"72,825","10,5834","2,359286736"
"73,825","10,5275","2,353990881"
"74,825","10,4744","2,348934185"
"75,83","10,4255","2,344254728"
"76,825","10,3702","2,338936308"
"77,825","10,3181","2,333899635"
"78,825","10,2628","2,328525707"
"79,825","10,2265","2,32498239"
"80,825","10,1301","2,31551119"
"81,825","10,1133","2,313851389"
"82,825","10,0685","2,309411738"
"83,825","10,0198","2,304563135"
"84,827","9,9666","2,299239503"
"85,826","9,9275","2,295308684"
"86,826","9,8716","2,289661948"
"87,831","9,8327","2,285713566"
"88,826","9,7818","2,280523516"
"89,826","9,7263","2,274833557"
"90,826","9,6825","2,270320132"
"91,827","9,6323","2,265122034"
"92,826","9,5785","2,259521004"
"93,826","9,5396","2,255451556"
"94,826","9,4848","2,249690517"
"95,826","9,4407","2,24503013"
"96,826","9,3917","2,23982632"
"97,826","9,3507","2,235451207"
"98,826","9,2991","2,229917621"
"99,826","9,2551","2,225174751"
"100,826","9,2073","2,219996648"
"101,826","9,1702","2,215959096"
"102,826","9,1208","2,21055752"
"103,826","9,0803","2,206107232"
"104,826","9,0328","2,200862397"
"105,827","8,992","2,196335293"
"106,826","8,9468","2,191295926"
"107,827","8,9057","2,186691521"
"108,826","8,8542","2,180891923"
"109,826","8,8201","2,177033208"
"110,826","8,7726","2,171633228"
"111,831","8,7458","2,168573585"
"112,826","8,6821","2,161263435"
"113,827","8,6326","2,155545734"
"114,826","8,6033","2,152145851"
"115,826","8,5581","2,146878203"
"116,827","8,5138","2,141688376"
"117,827","8,4767","2,137321223"
"118,826","8,4319","2,132022132"
"119,827","8,3884","2,126849799"
"120,826","8,3449","2,121650574"
"121,827","8,3065","2,117038341"
"122,826","8,2647","2,111993433"
"123,827","8,2261","2,107312026"
"124,826","8,1893","2,102828424"
"125,827","8,1486","2,097846133"
"126,826","8,1092","2,09299922"
"127,826","8,0709","2,088265"
"128,826","8,032","2,083433563"
"129,832","7,9917","2,078403503"
"130,826","7,9557","2,073888653"
"131,826","7,89","2,065596135"
"132,827","7,8711","2,063197824"
"133,827","7,8316","2,058166831"
"134,826","7,802","2,054380111"
