date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2022-04-18, 09:47:42	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:44	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:46	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:48	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:50	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:52	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:54	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:56	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:47:58	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:48:00	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:48:02	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:48:04	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:48:06	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:48:08	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:48:10	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:48:12	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:48:14	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:48:16	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:48:18	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:48:20	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:48:22	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:48:24	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:48:26	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:48:28	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:48:30	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:48:32	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-18, 09:48:34	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
